dataNum,0.0 comp,0.0 swap,0.1 comp,0.1 swap,0.2 comp,0.2 swap,0.3 comp,0.3 swap,0.4 comp,0.4 swap,0.5 comp,0.5 swap,0.6 comp,0.6 swap,0.7 comp,0.7 swap,0.8 comp,0.8 swap,0.9 comp,0.9 swap,1.0 comp,1.0 swap,
740,136530,0,136530,25790,136530,49037,136530,64347,136530,76579,136530,81598,136530,91430,136530,94208,136530,97623,136530,97580,136530,100975,
750,140250,0,140250,32679,140250,47037,140250,66306,140250,75055,140250,84947,140250,92237,140250,96977,140250,99594,140250,98320,140250,101751,
760,144020,0,144020,28158,144020,53799,144020,69899,144020,86935,144020,88799,144020,90536,144020,99999,144020,99918,144020,104068,144020,102977,
770,147840,0,147840,31524,147840,49547,147840,63289,147840,81449,147840,88054,147840,96999,147840,96605,147840,104038,147840,106852,147840,106325,
780,151710,0,151710,29557,151710,60972,151710,76159,151710,82516,151710,89792,151710,98049,151710,103783,151710,108563,151710,110107,151710,107128,
790,155630,0,155630,39225,155630,52547,155630,75624,155630,84956,155630,91895,155630,101419,155630,109546,155630,107727,155630,111910,155630,112822,
800,159600,0,159600,33167,159600,59161,159600,77248,159600,82617,159600,100244,159600,97878,159600,108631,159600,110433,159600,112152,159600,116735,
810,163620,0,163620,35892,163620,64542,163620,76032,163620,85134,163620,103310,163620,105843,163620,109457,163620,113828,163620,116183,163620,115192,
820,167690,0,167690,33252,167690,56425,167690,82732,167690,86065,167690,104089,167690,111516,167690,111640,167690,112555,167690,121817,167690,116895,
830,171810,0,171810,35642,171810,65273,171810,87663,171810,95013,171810,104343,171810,111687,171810,118677,171810,119099,171810,124392,171810,128144,
840,175980,0,175980,41663,175980,63163,175980,72085,175980,99639,175980,108002,175980,112859,175980,118125,175980,123230,175980,122252,175980,127276,
850,180200,0,180200,41574,180200,65865,180200,86939,180200,104271,180200,111313,180200,123757,180200,124133,180200,128285,180200,130149,180200,129017,
860,184470,0,184470,41334,184470,67238,184470,89210,184470,107952,184470,112800,184470,120622,184470,123263,184470,126104,184470,129658,184470,135823,
870,188790,0,188790,37834,188790,70737,188790,92608,188790,101344,188790,109494,188790,124886,188790,132395,188790,128589,188790,135108,188790,136039,
880,193160,0,193160,37956,193160,69236,193160,89632,193160,114359,193160,109168,193160,122845,193160,134837,193160,135060,193160,135064,193160,136884,
890,197580,0,197580,40040,197580,70316,197580,85691,197580,108116,197580,114113,197580,129773,197580,133935,197580,140809,197580,141600,197580,143904,
900,202050,0,202050,36086,202050,76444,202050,95897,202050,111508,202050,112201,202050,132389,202050,143162,202050,141098,202050,141145,202050,149716,
910,206570,0,206570,46466,206570,70868,206570,92035,206570,119566,206570,126736,206570,139170,206570,133750,206570,141492,206570,145632,206570,150182,
920,211140,0,211140,48747,211140,76232,211140,102805,211140,114252,211140,125304,211140,133499,211140,139850,211140,141561,211140,150923,211140,152468,
930,215760,0,215760,40429,215760,79574,215760,100035,215760,122735,215760,135221,215760,147376,215760,145733,215760,155118,215760,154693,215760,151090,
940,220430,0,220430,43628,220430,84741,220430,99875,220430,113957,220430,138477,220430,147373,220430,153901,220430,153465,220430,159679,220430,160536,
950,225150,0,225150,44938,225150,86514,225150,106276,225150,123144,225150,138553,225150,148586,225150,160379,225150,148097,225150,160246,225150,163313,
960,229920,0,229920,47671,229920,90347,229920,110273,229920,124488,229920,133848,229920,151940,229920,147804,229920,163819,229920,162894,229920,168645,
970,234740,0,234740,42519,234740,80464,234740,116118,234740,138341,234740,145171,234740,155688,234740,157918,234740,166979,234740,172709,234740,168532,
980,239610,0,239610,48135,239610,91561,239610,114192,239610,136677,239610,144667,239610,159169,239610,165452,239610,169308,239610,170195,239610,167003,
990,244530,0,244530,43100,244530,87963,244530,124110,244530,141855,244530,148750,244530,155035,244530,168614,244530,171460,244530,176859,244530,180010,
1000,249500,0,249500,44612,249500,85777,249500,110229,249500,134705,249500,151788,249500,166388,249500,174087,249500,175017,249500,175793,249500,178793,
